"text","relation"
"<e1>Hepatocyte nuclear factor-6</e1>: associations between genetic variability and <e2>type II diabetes</e2> and between genetic variability and estimates of insulin secretion.","Association"
"The transcription factor <e1>hepatocyte nuclear factor (HNF)-6</e1> is an upstream regulator of several genes involved in the pathogenesis of <e2>maturity-onset diabetes</e2> of the young.","Association"
"We therefore tested the hypothesis that variability in the <e1>HNF-6</e1> gene is associated with subsets of <e2>Type II (non-insulin-dependent) diabetes mellitus</e2> and estimates of insulin secretion in glucose tolerant subjects.","Association"
"We therefore tested the hypothesis that variability in the <e1>HNF-6</e1> gene is associated with subsets of <e2>Type II (non-insulin-dependent) diabetes mellitus</e2> and estimates of insulin secretion in glucose tolerant subjects.","Association"
"We therefore tested the hypothesis that variability in the <e1>HNF-6</e1> gene is associated with subsets of <e2>Type II (non-insulin-dependent) diabetes mellitus</e2> and estimates of insulin secretion in glucose tolerant subjects.","Association"
"We therefore tested the hypothesis that variability in the HNF-6 gene is associated with subsets of Type II (non-<e2>insulin</e2>-dependent) diabetes mellitus and estimates of insulin secretion in <e1>glucose</e1> tolerant subjects.","Positive_Correlation"
"We therefore tested the hypothesis that variability in the HNF-6 gene is associated with subsets of Type II (non-<e2>insulin</e2>-dependent) diabetes mellitus and estimates of insulin secretion in <e1>glucose</e1> tolerant subjects.","Positive_Correlation"
"We therefore tested the hypothesis that variability in the HNF-6 gene is associated with subsets of Type II (non-<e2>insulin</e2>-dependent) diabetes mellitus and estimates of insulin secretion in <e1>glucose</e1> tolerant subjects.","Positive_Correlation"
"We therefore tested the hypothesis that variability in the HNF-6 gene is associated with subsets of Type II (non-<e2>insulin</e2>-dependent) diabetes mellitus and estimates of insulin secretion in <e1>glucose</e1> tolerant subjects.","Positive_Correlation"
"We therefore tested the hypothesis that variability in the HNF-6 gene is associated with subsets of Type II (non-<e2>insulin</e2>-dependent) diabetes mellitus and estimates of insulin secretion in <e1>glucose</e1> tolerant subjects.","Positive_Correlation"
"We therefore tested the hypothesis that variability in the HNF-6 gene is associated with subsets of Type II (non-<e2>insulin</e2>-dependent) diabetes mellitus and estimates of insulin secretion in <e1>glucose</e1> tolerant subjects.","Positive_Correlation"
"We therefore tested the hypothesis that variability in the HNF-6 gene is associated with subsets of <e2>Type II (non-insulin-dependent) diabetes mellitus</e2> and estimates of insulin secretion in <e1>glucose</e1> tolerant subjects.","Association"
"We therefore tested the hypothesis that variability in the HNF-6 gene is associated with subsets of <e2>Type II (non-insulin-dependent) diabetes mellitus</e2> and estimates of insulin secretion in <e1>glucose</e1> tolerant subjects.","Association"
"We therefore tested the hypothesis that variability in the HNF-6 gene is associated with subsets of <e2>Type II (non-insulin-dependent) diabetes mellitus</e2> and estimates of insulin secretion in <e1>glucose</e1> tolerant subjects.","Association"
"We therefore tested the hypothesis that variability in the HNF-6 gene is associated with subsets of <e2>Type II (non-insulin-dependent) diabetes mellitus</e2> and estimates of insulin secretion in <e1>glucose</e1> tolerant subjects.","Association"
"We therefore tested the hypothesis that variability in the HNF-6 gene is associated with subsets of <e2>Type II (non-insulin-dependent) diabetes mellitus</e2> and estimates of insulin secretion in <e1>glucose</e1> tolerant subjects.","Association"
"We therefore tested the hypothesis that variability in the HNF-6 gene is associated with subsets of <e2>Type II (non-insulin-dependent) diabetes mellitus</e2> and estimates of insulin secretion in <e1>glucose</e1> tolerant subjects.","Association"
"We have identified a <e1>type II Ca2+-dependent lectin</e1> displaying <e2>mannose</e2>-binding specificity, exclusively expressed by Langerhans cells (LC), and named Langerin.","Bind"
"We have identified a type II Ca2+-dependent lectin displaying <e2>mannose</e2>-binding specificity, exclusively expressed by Langerhans cells (LC), and named <e1>Langerin</e1>.","Bind"
"We have identified a type II Ca2+-dependent lectin displaying <e2>mannose</e2>-binding specificity, exclusively expressed by Langerhans cells (LC), and named <e1>Langerin</e1>.","Bind"
"We have identified a type II Ca2+-dependent lectin displaying <e2>mannose</e2>-binding specificity, exclusively expressed by Langerhans cells (LC), and named <e1>Langerin</e1>.","Bind"
"We have identified a type II Ca2+-dependent lectin displaying <e2>mannose</e2>-binding specificity, exclusively expressed by Langerhans cells (LC), and named <e1>Langerin</e1>.","Bind"
"We have identified a type II Ca2+-dependent lectin displaying <e2>mannose</e2>-binding specificity, exclusively expressed by Langerhans cells (LC), and named <e1>Langerin</e1>.","Bind"
"We have identified a type II Ca2+-dependent lectin displaying <e2>mannose</e2>-binding specificity, exclusively expressed by Langerhans cells (LC), and named <e1>Langerin</e1>.","Bind"
"Founder mutations in the <e1>BRCA1</e1> gene in Polish families with <e2>breast-ovarian cancer</e2>.","Association"
"Three <e1>BRCA1 abnormalities</e1> - <e2>5382insC</e2>, C61G, and 4153delA - accounted for 51%, 20%, and 11% of the identified mutations, respectively..","Positive_Correlation"
"Three <e1>BRCA1 abnormalities</e1> - <e2>5382insC</e2>, C61G, and 4153delA - accounted for 51%, 20%, and 11% of the identified mutations, respectively..","Positive_Correlation"
"Three <e1>BRCA1 abnormalities</e1> - 5382insC, C61G, and <e2>4153delA</e2> - accounted for 51%, 20%, and 11% of the identified mutations, respectively..","Positive_Correlation"
"Three <e1>BRCA1 abnormalities</e1> - 5382insC, C61G, and <e2>4153delA</e2> - accounted for 51%, 20%, and 11% of the identified mutations, respectively..","Positive_Correlation"
"Three <e1>BRCA1 abnormalities</e1> - 5382insC, <e2>C61G</e2>, and 4153delA - accounted for 51%, 20%, and 11% of the identified mutations, respectively..","Positive_Correlation"
"Three <e1>BRCA1 abnormalities</e1> - 5382insC, <e2>C61G</e2>, and 4153delA - accounted for 51%, 20%, and 11% of the identified mutations, respectively..","Positive_Correlation"
