"text","relation"
"Agents that have only begun to undergo clinical evaluation include <e1>CI-1033</e1>, an irreversible pan-<e2>erbB</e2> tyrosine kinase inhibitor, and PKI166 and GW572016, both examples of dual kinase inhibitors (inhibiting epidermal growth factor receptor and Her2).","Downregulator"
"Agents that have only begun to undergo clinical evaluation include <e1>CI-1033</e1>, an irreversible pan-erbB <e2>tyrosine kinase</e2> inhibitor, and PKI166 and GW572016, both examples of dual kinase inhibitors (inhibiting epidermal growth factor receptor and Her2).","Downregulator"
"Agents that have only begun to undergo clinical evaluation include CI-1033, an irreversible pan-erbB tyrosine <e2>kinase</e2> inhibitor, and <e1>PKI166</e1> and GW572016, both examples of dual kinase inhibitors (inhibiting epidermal growth factor receptor and Her2).","Downregulator"
"Agents that have only begun to undergo clinical evaluation include CI-1033, an irreversible pan-erbB tyrosine kinase inhibitor, and <e1>PKI166</e1> and GW572016, both examples of dual kinase inhibitors (inhibiting <e2>epidermal growth factor receptor</e2> and Her2).","Downregulator"
"Agents that have only begun to undergo clinical evaluation include CI-1033, an irreversible pan-erbB tyrosine kinase inhibitor, and <e1>PKI166</e1> and GW572016, both examples of dual kinase inhibitors (inhibiting epidermal growth factor receptor and <e2>Her2</e2>).","Downregulator"
"Agents that have only begun to undergo clinical evaluation include CI-1033, an irreversible pan-erbB tyrosine <e2>kinase</e2> inhibitor, and PKI166 and <e1>GW572016</e1>, both examples of dual kinase inhibitors (inhibiting epidermal growth factor receptor and Her2).","Downregulator"
"Agents that have only begun to undergo clinical evaluation include CI-1033, an irreversible pan-erbB tyrosine kinase inhibitor, and PKI166 and <e1>GW572016</e1>, both examples of dual kinase inhibitors (inhibiting <e2>epidermal growth factor receptor</e2> and Her2).","Downregulator"
"Agents that have only begun to undergo clinical evaluation include CI-1033, an irreversible pan-erbB tyrosine kinase inhibitor, and PKI166 and <e1>GW572016</e1>, both examples of dual kinase inhibitors (inhibiting epidermal growth factor receptor and <e2>Her2</e2>).","Downregulator"
"<e2>Epidermal growth factor receptor</e2> inhibitors currently under investigation include the small molecules <e1>gefitinib</e1> (Iressa, ZD1839) and erlotinib (Tarceva, OSI-774), as well as monoclonal antibodies such as cetuximab (IMC-225, Erbitux).","Downregulator"
"<e2>Epidermal growth factor receptor</e2> inhibitors currently under investigation include the small molecules gefitinib (<e1>Iressa</e1>, ZD1839) and erlotinib (Tarceva, OSI-774), as well as monoclonal antibodies such as cetuximab (IMC-225, Erbitux).","Downregulator"
"<e2>Epidermal growth factor receptor</e2> inhibitors currently under investigation include the small molecules gefitinib (Iressa, <e1>ZD1839</e1>) and erlotinib (Tarceva, OSI-774), as well as monoclonal antibodies such as cetuximab (IMC-225, Erbitux).","Downregulator"
"<e2>Epidermal growth factor receptor</e2> inhibitors currently under investigation include the small molecules gefitinib (Iressa, ZD1839) and <e1>erlotinib</e1> (Tarceva, OSI-774), as well as monoclonal antibodies such as cetuximab (IMC-225, Erbitux).","Downregulator"
"<e2>Epidermal growth factor receptor</e2> inhibitors currently under investigation include the small molecules gefitinib (Iressa, ZD1839) and erlotinib (<e1>Tarceva</e1>, OSI-774), as well as monoclonal antibodies such as cetuximab (IMC-225, Erbitux).","Downregulator"
